env,set,rep,blk,male,female,hybrid,DA,DS,ASI,PHT,EHT,EPP,EASP,GY
1,1,1,1,1,5,H1-5,58,57,1,218,98,1,3,6295
1,1,1,1,1,6,H1-6,59,59,0,187,78,0.9,6,3906
1,1,1,1,1,7,H1-7,58,58,0,217,103,0.9,3,5870
1,1,1,1,1,8,H1-8,59,59,0,173,77,0.9,3,7387
1,1,1,1,2,5,H2-5,61,62,1,203,73,1.1,5,3278
1,1,1,1,2,6,H2-6,60,60,0,207,78,0.9,5,5663
1,1,1,1,2,7,H2-7,60,60,0,203,93,0.8,5,4075
1,1,1,1,2,8,H2-8,59,59,0,167,67,1.1,4,6310
1,1,1,2,3,5,H3-5,63,63,0,183,78,0.6,6,1490
1,1,1,2,3,6,H3-6,61,61,0,187,87,0.8,6,3564
1,1,1,2,3,7,H3-7,61,61,0,213,103,0.7,4,4387
1,1,1,2,3,8,H3-8,59,59,0,187,77,0.9,3,6855
1,1,1,2,4,5,H4-5,57,56,1,183,87,1.2,4,4533
1,1,1,2,4,6,H4-6,61,61,0,183,83,1,6,3240
1,1,1,2,4,7,H4-7,58,58,0,183,83,0.8,4,5961
1,1,1,2,4,8,H4-8,57,55,2,198,83,0.9,2,9686
1,2,1,3,5,9,H5-9,59,59,0,187,88,0.9,2,5961
1,2,1,3,5,10,H5-10,57,56,1,207,97,1,1,6911
1,2,1,3,5,11,H5-11,61,62,1,187,83,0.9,6,4148
1,2,1,3,5,12,H5-12,61,61,0,193,83,0.9,2,5075
1,2,1,3,6,9,H6-9,59,59,0,163,72,0.6,3,5663
1,2,1,3,6,10,H6-10,59,58,1,198,93,0.9,4,5514
1,2,1,3,6,11,H6-11,57,57,0,203,93,0.8,6,2963
1,2,1,3,6,12,H6-12,57,55,2,148,73,0.7,3,5067
1,2,1,4,7,9,H7-9,58,59,1,207,98,0.8,4,5514
1,2,1,4,7,10,H7-10,58,58,0,217,103,0.8,2,6222
1,2,1,4,7,11,H7-11,58,58,0,203,83,0.8,3,4523
1,2,1,4,7,12,H7-12,57,55,2,183,93,0.8,5,4647
1,2,1,4,8,9,H8-9,57,55,2,197,103,1,3,6050
1,2,1,4,8,10,H8-10,57,56,1,213,98,0.8,3,5246
1,2,1,4,8,11,H8-11,59,59,0,213,108,0.8,4,3122
1,2,1,4,8,12,H8-12,57,56,1,198,102,0.8,2,5514
1,3,1,5,9,13,H9-13,59,59,0,187,77,0.7,5,4148
1,3,1,5,9,14,H9-14,57,57,0,207,95,0.9,4,5982
1,3,1,5,9,15,H9-15,55,55,0,193,77,0.8,5,3576
1,3,1,5,9,16,H9-16,57,55,2,187,73,0.8,4,4477
1,3,1,5,10,13,H10-13,58,58,0,193,83,1,3,6911
1,3,1,5,10,14,H10-14,59,58,1,207,83,0.9,6,5067
1,3,1,5,10,15,H10-15,57,55,2,217,83,0.9,3,7704
